X,Y,RockTypes,id
-76.20571464,3.725623989,Mafic,2
-76.1967114,3.723627495,Mafic,2
-76.1881083,3.722229946,Mafic,2
-76.18110578,3.731014501,Mafic,2
-76.18970888,3.729018019,Mafic,2
-76.19971248,3.73001626,Mafic,2
-76.20791543,3.731014501,Mafic,2
-76.22132026,3.729816612,Mafic,2
-76.22812271,3.726821883,Mafic,2
-76.22932314,3.736005686,Mafic,2
-76.22292083,3.740397905,Mafic,2
-76.23132386,3.745588681,Mafic,2
-76.22262072,3.746886371,Mafic,2
-76.21641849,3.746287437,Mafic,2
-76.2092159,3.740996842,Mafic,2
-76.2028136,3.735306922,Mafic,2
-76.20331378,3.743292765,Mafic,2
-76.19731162,3.741396134,Mafic,2
-76.19150953,3.736404979,Mafic,2
-76.18580747,3.73440851,Mafic,2
-76.18020546,3.737802505,Mafic,2
-76.17760452,3.742494184,Mafic,2
-76.18370672,3.740597551,Mafic,2
-76.18830837,3.744790102,Mafic,2
-76.18230621,3.751677822,Mafic,2
-76.17690427,3.76205921,Mafic,2
-76.19010902,3.757068173,Mafic,2
-76.19691147,3.750879249,Mafic,2
-76.21571824,3.756069963,Mafic,2
-76.22292083,3.761659928,Mafic,2
-76.21631846,3.764854178,Mafic,2
-76.19771176,3.765852378,Mafic,2
-76.18530729,3.767449497,Mafic,2
-76.17910506,3.774836132,Mafic,2
-76.19631126,3.776033959,Mafic,2
-76.21791903,3.770444086,Mafic,2
-76.22567182,3.776982238,Mafic,2
-76.21576826,3.786864236,Mafic,2
-76.22557179,3.789659124,Mafic,2
-76.2333746,3.777281694,Mafic,2
-76.24457863,3.781673705,Mafic,2
-76.23677582,3.78866095,Mafic,2
-76.24697949,3.789858758,Mafic,2
-76.23097373,3.801836745,Mafic,2
-76.25598273,3.801437481,Mafic,2
-76.24517884,3.811818273,Mafic,2
-76.23397481,3.819404157,Mafic,2
-76.22997337,3.829784731,Mafic,2
-76.24557899,3.831780981,Mafic,2
-76.25538252,3.822198939,Mafic,2
-76.23757611,3.842560651,Mafic,2
-76.22357107,3.838767819,Mafic,2
-76.25378194,3.840764048,Mafic,2
-76.2547823,3.858131043,Mafic,2
-76.24557899,3.852541704,Mafic,2
-76.23557539,3.858330662,Mafic,2
-76.25138108,3.869708842,Mafic,2
